"Range of dates wrong","Range of dates wrong"
"Item does not exist","Item does not exist"
"The featured popup has been saved.","The featured popup has been saved."
"Unable to find item to save","Unable to find item to save"
"Disabled","Disabled"
"Enabled","Enabled"
"Featured Popup","Featured Popup"
"Add Featured Popup","Add Featured Popup"
"ID","ID"
"Name","Name"
"Link","Link"
"From:","From:"
"To:","To:"
"Status","Status"
"Store View","Store View"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Save","Save"
"Edit Featured Popup '%s'","Edit Featured Popup '%s'"
"New Featured Popup","New Featured Popup"
"Popup Image","Popup Image"
"Width Image","Width Image"
"Height Image","Height Image"
"Url","Url"
"Delay Start","Delay Start"
"Delay Close","Delay Close"
"Priority","Priority"
"Opacity","Opacity"
"Please upload an image.","Please upload an image."
"Add New Image","Add New Image"
"Assigned Images","Assigned Images"
"Date Settings","Date Settings"
"Popup Settings","Popup Settings"